DATE,자산총액,현금총액,자산1_티커,자산1_총액,자산2_티커,자산2_총액,자산3_티커,자산3_총액,자산4_티커,자산4_총액
2016-01-18,100000000,100000000,None,0,None,0,None,0,None,0
2016-01-19,100000000,100000000,None,0,None,0,None,0,None,0
2016-01-20,100000000,100000000,None,0,None,0,None,0,None,0
2016-01-21,100000000,100000000,None,0,None,0,None,0,None,0
2016-01-22,100000000,100000000,None,0,None,0,None,0,None,0
2016-01-25,100000000,100000000,None,0,None,0,None,0,None,0
2016-01-26,100000000,100000000,None,0,None,0,None,0,None,0
2016-01-27,100000000,100000000,None,0,None,0,None,0,None,0
2016-01-28,100000000,100000000,None,0,None,0,None,0,None,0
2016-01-29,100000000,100000000,None,0,None,0,None,0,None,0
2016-02-01,100000000,100000000,None,0,None,0,None,0,None,0
2016-02-02,100000000,100000000,None,0,None,0,None,0,None,0
2016-02-03,100000000,100000000,None,0,None,0,None,0,None,0
2016-02-04,100000000,100000000,None,0,None,0,None,0,None,0
2016-02-05,100000000,100000000,None,0,None,0,None,0,None,0
2016-02-11,100000000,100000000,None,0,None,0,None,0,None,0
2016-02-12,100000000,100000000,None,0,None,0,None,0,None,0
2016-02-15,100000000,100000000,None,0,None,0,None,0,None,0
2016-02-16,100000000,100000000,None,0,None,0,None,0,None,0
2016-02-17,100000000,100000000,None,0,None,0,None,0,None,0
2016-02-18,100000000,100000000,None,0,None,0,None,0,None,0
2016-02-19,100000000,100000000,None,0,None,0,None,0,None,0
2016-02-22,100000000,75001700,096630,24998300,None,0,None,0,None,0
2016-02-23,106249575,90624450,096630,15625125,None,0,None,0,None,0
2016-02-24,106249575,90624450,096630,15625125,None,0,None,0,None,0
2016-02-25,105591675,90624450,096630,14967225,None,0,None,0,None,0
2016-02-26,104999565,90624450,096630,14375115,None,0,None,0,None,0
2016-02-29,104999565,90624450,096630,14375115,None,0,None,0,None,0
2016-03-02,104539035,90624450,096630,13914585,None,0,None,0,None,0
2016-03-03,104867985,90624450,096630,14243535,None,0,None,0,None,0
2016-03-04,105295620,90624450,096630,14671170,None,0,None,0,None,0
2016-03-07,104769300,90624450,096630,14144850,None,0,None,0,None,0
2016-03-08,105262725,90624450,096630,14638275,None,0,None,0,None,0
2016-03-09,105361410,64297850,096630,14736960,208710,26326600,None,0,None,0
2016-03-10,106725105,64297850,096630,14111955,208710,28315300,None,0,None,0
2016-03-11,105466110,77719010,208710,27747100,None,0,None,0,None,0
2016-03-14,105844910,77719010,208710,28125900,None,0,None,0,None,0
2016-03-15,104708510,77719010,208710,26989500,None,0,None,0,None,0
2016-03-16,103808860,103808860,None,0,None,0,None,0,None,0
2016-03-17,103808860,103808860,None,0,None,0,None,0,None,0
2016-03-18,103808860,103808860,None,0,None,0,None,0,None,0
2016-03-21,103808860,51916304,054620,25942046,096630,25950510,None,0,None,0
2016-03-22,102579902,51916304,054620,25411308,096630,25252290,None,0,None,0
2016-03-23,99879114,75132119,054620,24746995,None,0,None,0,None,0
2016-03-24,99282479,99282479,None,0,None,0,None,0,None,0
2016-03-25,99282479,99282479,None,0,None,0,None,0,None,0
2016-03-28,99282479,99282479,None,0,None,0,None,0,None,0
2016-03-29,99282479,99282479,None,0,None,0,None,0,None,0
2016-03-30,99282479,99282479,None,0,None,0,None,0,None,0
2016-03-31,99282479,99282479,None,0,None,0,None,0,None,0
2016-04-01,99282479,99282479,None,0,None,0,None,0,None,0
2016-04-04,99282479,99282479,None,0,None,0,None,0,None,0
2016-04-05,99282479,74483679,012510,24798800,None,0,None,0,None,0
2016-04-06,98195679,74483679,012510,23712000,None,0,None,0,None,0
2016-04-07,97701679,74483679,012510,23218000,None,0,None,0,None,0
2016-04-08,98294479,74483679,012510,23810800,None,0,None,0,None,0
2016-04-11,98541479,74483679,012510,24057800,None,0,None,0,None,0
2016-04-12,98640279,74483679,012510,24156600,None,0,None,0,None,0
2016-04-14,99578879,74483679,012510,25095200,None,0,None,0,None,0
2016-04-15,98343879,74483679,012510,23860200,None,0,None,0,None,0
2016-04-18,98492079,74483679,012510,24008400,None,0,None,0,None,0
2016-04-19,98689679,25157359,012510,24206000,050110,24669040,000210,24657280,None,0
2016-04-20,98550829,49511559,050110,24541880,000210,24497390,None,0,None,0
2016-04-21,98908579,49511559,050110,24446510,000210,24950510,None,0,None,0
2016-04-22,97882544,25042689,050110,24859780,000210,23511205,096630,24468870,None,0
2016-04-25,98432239,25042689,050110,25749900,000210,23617700,096630,24021950,None,0
2016-04-26,97681034,49362039,000210,24017720,096630,24301275,None,0,None,0
2016-04-27,98499869,49362039,000210,23830985,096630,25306845,None,0,None,0
2016-04-28,97872709,49362039,000210,24097665,096630,24413005,None,0,None,0
2016-04-29,97114679,49362039,000210,24177610,096630,23575030,None,0,None,0
2016-05-02,96914039,49362039,000210,23697645,096630,23854355,None,0,None,0
2016-05-03,96438099,96438099,None,0,None,0,None,0,None,0
2016-05-04,96438099,96438099,None,0,None,0,None,0,None,0
2016-05-09,96438099,96438099,None,0,None,0,None,0,None,0
2016-05-10,96438099,96438099,None,0,None,0,None,0,None,0
2016-05-11,96438099,96438099,None,0,None,0,None,0,None,0
2016-05-12,96438099,96438099,None,0,None,0,None,0,None,0
2016-05-13,96438099,96438099,None,0,None,0,None,0,None,0
2016-05-16,96438099,72335121,015260,24102978,None,0,None,0,None,0
2016-05-17,97655643,72335121,015260,25320522,None,0,None,0,None,0
2016-05-18,96389460,72301260,004720,24088200,None,0,None,0,None,0
2016-05-19,98185510,47768934,004720,25884250,068760,24532326,None,0,None,0
2016-05-20,99115072,47768934,004720,26201200,068760,25144938,None,0,None,0
2016-05-23,101817748,47768934,004720,28736800,068760,25312014,None,0,None,0
2016-05-24,99673539,24142111,068760,25703405,058820,24913000,017180,24915023,None,0
2016-05-25,94021358,44375026,068760,25703405,017180,23942927,None,0,None,0
2016-05-26,93491723,44375026,068760,25087699,017180,24028998,None,0,None,0
2016-05-27,92845207,44375026,068760,25033554,017180,23436627,None,0,None,0
2016-05-30,91722770,66799053,068760,24923717,None,0,None,0,None,0
2016-05-31,92892302,66799053,068760,26093249,None,0,None,0,None,0
2016-06-01,92671081,66799053,068760,25872028,None,0,None,0,None,0
2016-06-02,92892302,43604504,068760,26093249,078520,23194549,None,0,None,0
2016-06-03,92743251,43604504,068760,25757550,078520,23381197,None,0,None,0
2016-06-07,92899533,43604504,068760,26037557,078520,23257472,None,0,None,0
2016-06-08,92651376,43604504,068760,26037557,078520,23009315,None,0,None,0
2016-06-09,93679319,43604504,068760,26538785,078520,23536030,None,0,None,0
2016-06-10,92733003,43604504,068760,26707408,078520,22421091,None,0,None,0
2016-06-13,92825620,43604504,068760,26707408,078520,22513708,None,0,None,0
2016-06-14,93843217,43604504,068760,28436954,078520,21801759,None,0,None,0
2016-06-15,93699472,43604504,068760,27488643,078520,22606325,None,0,None,0
2016-06-16,93409280,43604504,068760,27600027,078520,22204749,None,0,None,0
2016-06-17,91752681,65436664,068760,26316017,None,0,None,0,None,0
2016-06-20,92308054,42361132,068760,26871390,025440,23075532,None,0,None,0
2016-06-21,92246744,42361132,068760,26707408,025440,23178204,None,0,None,0
2016-06-22,91589869,42361132,068760,26987415,025440,22241322,None,0,None,0
2016-06-23,89958184,19897132,068760,25980318,025440,21616734,009450,22464000,None,0
2016-06-24,87755529,65205129,009450,22550400,None,0,None,0,None,0
